batch_id,event_id,node,title,proposed_ayah_range,relation_type,risk_level,caution,owner_decision,corrected_ayah_range,source_id,owner_note,final_recommended_status
evidence_mapping_sprint_01,ibrahim_05__,إبراهيم عليه السلام,بناء البيت,2:127-129,main,high,تداخل محتمل مع ibrahim_kaaba precise (21:51-70) و2:127-129,,,,,
evidence_mapping_sprint_05,isa_02__,عيسى عليه السلام,المعجزات,5:110-115,main,high,معجزات 5:110-115 قريبة من isa_04__ (5:116-118) في الدفعة 1,,,,,
evidence_mapping_sprint_05,isa_03__,عيسى عليه السلام,الحواريون,3:52-53,main,medium,3:52-53 — بديل محتمل الصف 61:14,,,,,
evidence_mapping_sprint_01,isa_04__,عيسى عليه السلام,الغلو,5:116-118,main,medium,كتلة الغلو 5:116-118,,,,,
evidence_mapping_sprint_05,maryam_02__,مريم عليها السلام,البشارة,3:45-47,main,high,3:45-47 مقابل isa_birth (19:16-21) وmaryam_03__ (19:22-26),,,,,
evidence_mapping_sprint_01,maryam_03__,مريم عليها السلام,المخاض,19:22-26,main,high,19:22-26 بعد isa_birth precise (19:16-21),,,,,
evidence_mapping_sprint_01,maryam_04__,مريم عليها السلام,العودة,19:27-33,main,medium,تتمة سورة مريم — حدود ayah_to مع 34,,,,,
evidence_mapping_sprint_03,muhammad_02__,محمد ﷺ,الهجرة,9:40,main,medium,9:40 آية واحدة — قد يحتاج نطاقًا أوسع,,,,,
evidence_mapping_sprint_04,muhammad_03__,محمد ﷺ,بدر,3:123-126,main,high,بدر — بديل الأنفال 8:9-19 مقابل آل عمران 3:123-126,,,,,
evidence_mapping_sprint_04,muhammad_04__,محمد ﷺ,الأحزاب,33:9-22,main,medium,33:9-22 نطاق طويل للأحزاب,,,,,
evidence_mapping_sprint_03,muhammad_05__,محمد ﷺ,الفتح,48:1-3,main,low,حدث «الفتح» قد يمتد إلى آيات لاحقة في السورة — مسودة sprint؛ راجع قبل promote.,,,,,
evidence_mapping_sprint_01,musa_firawn,موسى عليه السلام,اليم,20:24-56,main,high,العنوان «اليم» يتعارض مع ملخص فرعون؛ نطاق طه 20:24-56 واسع,,,,,
evidence_mapping_sprint_01,musa_03__,موسى عليه السلام,مدين,28:22-28,main,medium,نطاق القصص 28:22-28 — مسودة sprint,,,,,
evidence_mapping_sprint_03,musa_04__,موسى عليه السلام,الوحي,20:9-16,main,high,طه 20:9-16 يتداخل موضوعيًا مع musa_firawn (20:24-56),,,,,
evidence_mapping_sprint_03,musa_05__,موسى عليه السلام,فرعون,7:103-108,main,medium,سرد الأعراف مقابل طه لقصة فرعون,,,,,
evidence_mapping_sprint_03,musa_06__,موسى عليه السلام,السحرة,7:113-122,main,medium,سحرة الأعراف — حدود مع musa_05__,,,,,
evidence_mapping_sprint_03,musa_07__,موسى عليه السلام,البحر,26:63-66,main,medium,فلق البحر مذكور في عدة سور — الشعراء 26:63-66 مقترح,,,,,
evidence_mapping_sprint_03,musa_08__,موسى عليه السلام,العجل,20:83-89,main,medium,العجل في طه — روايات في البقرة والأعراف,,,,,
evidence_mapping_sprint_01,musa_09__,موسى عليه السلام,الخضر,18:60-82,main,medium,نطاق طويل الكهف 18:60-82,,,,,
evidence_mapping_sprint_04,nuh_03__,نوح عليه السلام,الطوفان,11:40-41,main,high,11:40-41 يتداخل مع nuh_ark (11:36-44) وnuh_04__,,,,,
evidence_mapping_sprint_02,nuh_04__,نوح عليه السلام,نداء الابن,11:42-46,main,high,11:42-46 يتداخل مع nuh_ark وnuh_03__,,,,,
evidence_mapping_sprint_02,sulayman_01__,سليمان عليه السلام,الهدهد,27:20-22,main,medium,فرعي من كتلة النمل 27:15-44,,,,,
evidence_mapping_sprint_02,sulayman_02__,سليمان عليه السلام,ملكة سبأ,27:23-31,main,high,27:23-31 — حدود مع sulayman_03__ (27:38-40),,,,,
evidence_mapping_sprint_05,sulayman_03__,سليمان عليه السلام,العرش,27:38-40,main,high,يتبع sulayman_02__ في سورة النمل,,,,,
evidence_mapping_sprint_04,yunus_01__,يونس عليه السلام,المغاضبة,37:139-141,main,high,37:139-141 فرعي من yunus_02__ (37:139-144) في الدفعة 2,,,,,
evidence_mapping_sprint_02,yunus_02__,يونس عليه السلام,الحوت,37:139-144,main,high,سرد الصافات — تداخل مع yunus_01__ وyunus_04__,,,,,
evidence_mapping_sprint_02,yunus_03__,يونس عليه السلام,الدعاء,21:87-88,main,medium,21:87-88 — آية مشهورة تحتاج مراجعة,,,,,
evidence_mapping_sprint_04,yunus_04__,يونس عليه السلام,النجاة,10:98,main,medium,10:98 نجاة القوم — مختلف عن سرد الحوت,,,,,
evidence_mapping_sprint_04,yusuf_04__,يوسف عليه السلام,الفتنة,12:23-29,main,high,فرعي من yusuf_prison precise (12:23-57),,,,,
evidence_mapping_sprint_04,yusuf_05__,يوسف عليه السلام,السجن,12:33-42,main,high,12:33-42 ضمن yusuf_prison — تداخل مع yusuf_04__,,,,,
evidence_mapping_sprint_04,yusuf_06__,يوسف عليه السلام,التأويل,12:43-49,main,high,12:43-49 ضمن yusuf_prison,,,,,
evidence_mapping_sprint_04,yusuf_07__,يوسف عليه السلام,التمكين,12:54-57,main,high,12:54-57 قد يحتاج 12:50-53 — yusuf_prison,,,,,
evidence_mapping_sprint_04,yusuf_08__,يوسف عليه السلام,العفو,12:92-100,main,medium,12:92-100 ختام السورة,,,,,
